"column_name","data_type","type_conflicts","source","dataset_count","table_count","final_description","source_descriptions"
"metadata","STRUCT<geo STRUCT<city STRING, country STRING, db_version STRING, subdivision1 STRING, subdivision2 STRING>, header STRUCT<date STRING, dnt STRING, x_debug_id STRING, x_foxsec_ip_reputation STRING, x_lb_tags STRING, x_pingsender_version STRING, x_source_tags STRING, x_telemetry_agent STRING, parsed_date TIMESTAMP, parsed_x_source_tags ARRAY<STRING>, parsed_x_lb_tags STRUCT<tls_version STRING, tls_cipher_hex STRING>>, isp STRUCT<db_version STRING, name STRING, organization STRING>, user_agent STRUCT<browser STRING, os STRING, version STRING>>","True","bqetl","343","3597","Structured data containing geographical, header, ISP, and user agent information extracted from request context.","Set of key-value pairs attached to the coupon, stored as a JSON object. | Set of key-value pairs attached to the customer, stored as a JSON object. | Set of key-value pairs attached to the customer, stored as a JSON object. The original `userid` metadata values were not preserved, only the SHA256 hashes of those values, which are stored here under the key `userid_sha256`. | Set of key-value pairs attached to the plan, stored as a JSON object. | Set of key-value pairs attached to the product, stored as a JSON object. | Set of key-value pairs attached to the subscription item, stored as a JSON object. | Set of key-value pairs attached to the subscription, stored as a JSON object. | Set of key-value pairs attached to the tax rate, stored as a JSON object."
"normalized_app_name","STRING","False","glean","341","3646","Standardized application name, set to 'Other' for unrecognized app names.","Set to ""Other"" if this message contained an unrecognized app name"
"additional_properties","STRING","False","glean","328","3518","JSON string containing payload properties not defined in the schema.","A JSON string containing any payload properties not present in the schema"
"metrics","STRUCT<labeled_counter STRUCT<glean_error_invalid_label ARRAY<STRUCT<key STRING, value INT64>>, glean_error_invalid_overflow ARRAY<STRUCT<key STRING, value INT64>>, glean_error_invalid_state ARRAY<STRUCT<key STRING, value INT64>>, glean_error_invalid_value ARRAY<STRUCT<key STRING, value INT64>>>, string STRUCT<glean_client_annotation_experimentation_id STRING>, string_list STRUCT<glean_ping_uploader_capabilities ARRAY<STRING>>>","True","missing","290","3099","Structured collection of labeled counters tracking Glean validation errors and string-based telemetry metrics including client annotation IDs and uploader capabilities.",""
"client_info","STRUCT<android_sdk_version STRING, app_build STRING, app_channel STRING, app_display_version STRING, architecture STRING, build_date STRING, client_id STRING, device_manufacturer STRING, device_model STRING, first_run_date STRING, locale STRING, os STRING, os_version STRING, telemetry_sdk_build STRING, windows_build_number INT64, session_count INT64, session_id STRING, attribution STRUCT<campaign STRING, content STRING, medium STRING, source STRING, term STRING, ext JSON>, distribution STRUCT<name STRING, ext JSON>>","True","missing","288","2700","Client device and application information including SDK version, app build, device details, OS, locale, session data, and attribution/distribution metadata.",""
"ping_info","STRUCT<end_time STRING, experiments ARRAY<STRUCT<key STRING, value STRUCT<branch STRING, extra STRUCT<enrollment_id STRING, type STRING>>>>, ping_type STRING, reason STRING, seq INT64, start_time STRING, server_knobs_config STRUCT<event_threshold INT64, metrics_enabled ARRAY<STRUCT<key STRING, value BOOL>>, pings_enabled ARRAY<STRUCT<key STRING, value BOOL>>>, parsed_start_time TIMESTAMP, parsed_end_time TIMESTAMP>","True","missing","287","2699","Telemetry ping metadata including timing, type, reason, sequence number, active experiments, and server configuration for metrics and pings.",""
"events","ARRAY<STRUCT<category STRING, extra ARRAY<STRUCT<key STRING, value STRING>>, name STRING, timestamp INT64>>","True","missing","243","3014","Array of discrete events with category, name, timestamp, and optional key-value extra data.",""
"legacy_telemetry_client_id","STRING","False","glean","168","481","UUID uniquely identifying the legacy telemetry client for supporting legacy telemetry in deletion-request pings.","A UUID uniquely identifying the legacy telemetry client id. This is used for supporting legacy telemetry in the `deletion-request` ping. | The client_id according to Telemetry. Might not always have a value due to being too early for it to have loaded. Value may be the canary client id `c0ffeec0-ffee-c0ff-eec0-ffeec0ffeec0` in pings near when the data upload pref is disabled (if Telemetry gets to go first), or between when a client_id has been removed and when it has been regenerated. Does not need to be sent in the Glean ""deletion-request"" ping."
"experiments","ARRAY<STRUCT<key STRING, value STRUCT<branch STRING, extra STRUCT<type STRING, enrollment_id STRING>>>>","True","missing","168","616","Array of active experiments with branch assignment and enrollment metadata.",""
"is_bot_generated","BOOL","False","bqetl","163","1420","Indicates whether the client is a bot.","Indicates if the client is a bot."
"event_timestamp","TIMESTAMP","True","bqetl","159","233","Timestamp when the event occurred.","Event Timestamp | Glean event timestamp | The Unix timestamp in microseconds when the event was logged | The date and time of the event in the API user’s time zone. | The timestamp of the event | Timestamp when the event occurred. | Timestamp when the last recorded event took place. The date value for this field can be older or the same in comparison to submission_date."
"event_name","STRING","False","glean","157","312","Name of the event.","The name of the event"
"app_version_patch","NUMERIC","False","bqetl","152","1161","Patch version number of the application.","App Version - Patch Version Number | The user visible patch version of the Firefox app."
"event_category","STRING","False","bqetl","152","303","Category classification of the recorded event.","Category of the recorded event. | Event Category | Event Category - Since event_category doesn't exist in GA4, this is event_name"
"event","STRING","False","glean","145","223","Event identifier.","An event identifier"
"city","STRING","False","bqetl","138","594","City where the activity took place, determined by IP geolocation.","City | City - Result of a geographic lookup based on the client's IP address | City associated with the client's activity. | City in which the activity took place, as determined by the IP geolocation. | City reported by the client. | City reported during GA user's session_start event. | City retrieved as a result of a geographic lookup based on the client's IP address. | Client's city on the first seen date. | Client's city on the submission_date. | First reported city for a GA client. | First reported city for a GA user. | Name of the city in which the activity took place, as determined by the IP geolocation. | Name of the country in which the activity took place, as determined by the IP geolocation. | The City name (only for cities with a population >= 15000, 'unknown' otherwise)."
"event_extra","JSON","True","missing","137","203","Additional contextual data associated with an event stored as JSON.",""
"reason","STRING","False","glean","135","246","Trigger reason for the ping (e.g., saved-session, environment-change, shutdown).","what triggered this ping e.g. saved-session, environment-change, shutdown, ..."
"attribution","STRUCT<campaign STRING, content STRING, medium STRING, source STRING, term STRING, ext JSON>","True","glean","133","411","Attribution data included with the installer such as campaign, content, medium, source, and term.","Any attribution data that was included with the installer"
"days_seen_bits","INT64","False","bqetl","131","248","Bit pattern representing client activity over the last 28 days.","Bit field shows on which of the last 28 days a client sent us the usage_reporting ping. | Bit pattern representing whether the client sent a baseline ping for each of the last 28 days, inclusive of the submission date. | Bit pattern to identify when the client_id has sent a main ping in the previous 28 days. | Days Seen Bits | Days seen in bits | No. of days since the user had activity event. | Represents specific device's activity over the last 28 days. The rightmost bit represents whether the user was active in the current day."
"device_model","STRING","False","glean","127","465","Marketing name or model identifier of the device the application is running on.","The model of the device the application is running on. On Android, this is Build.MODEL, the user-visible marketing name, like ""Pixel 2 XL"". Not set if the device model can't be determined (e.g. on Desktop)."
"app_channel","STRING","False","glean","126","478","Distribution channel through which the application is being distributed.","The channel the application is being distributed on."
"durations","INT64","True","bqetl","126","405","Sum of the duration of the last foreground session in seconds across each unique baseline ping.","Durations | The sum of the duration of the last foreground session in seconds across each unique baseline ping | The sum of the duration of the last foreground session in seconds across each unique baseline ping received on this submission date."
"is_new_profile","BOOL","False","bqetl","126","396","Indicates whether the submission date is the same as the client's first seen date.","Determines if a client is a new profile. | Determines if a client is a new profile. | Indicates if the profiles are attributed to the DMA choice screen. | Indicates if the profiles are attributed to the DMA choice screen. | Indicates if the submission date is the same as the client's first seen date."
"app_build","STRING","False","glean","125","485","Build identifier generated by the CI system or a system-specific default value.","The build identifier generated by the CI system (e.g. ""1234/A""). For language bindings that provide automatic detection for this value, (e.g. Android/Kotlin), in the unlikely event that the build identifier can not be retrieved from the OS, it is set to ""inaccessible"". For other language bindings, if the value was not provided through configuration, this metric gets set to `Unknown`."
"attribution_dltoken","STRING","False","bqetl","125","344","Unique token generated at Firefox download time.","Attribution Download Token | Attribution Download Token - Unique token generated for the Firefox download | Unique token created at Firefox download time."
"days_active_bits","INT64","False","bqetl","125","211","Bit pattern representing whether the client met activity criteria for each of the last 28 days.","Bit field shows on which of the last 28 days a client fulfilled the active criteria. | Bit pattern representing whether the client was active for each of the last 28 days, inclusive of the submission date. | Bit pattern to identify when the client_id has sent a main ping & also qualifies as active in the previous 28 days."
"device_manufacturer","STRING","False","glean","125","495","Manufacturer of the device the application is running on.","The manufacturer of the device the application is running on. Not set if the device manufacturer can't be determined (e.g. on Desktop)."
"android_sdk_version","STRING","False","glean","124","377","Android-specific SDK version of the software running on the device.","The optional Android specific SDK version of the software running on this hardware device."
"days_created_profile_bits","INT64","False","bqetl","124","210","Bit field indicating the number of days elapsed since profile creation.","bit field indicating how many days lapsed since profile creation."
"distribution_version","STRING","False","glean","124","332","Version of partner distribution, defaulting to 0 for Mozilla distributions.","The value of the `distribution.version` pref. | Version of partner distribution, defaulting to 0 for Mozilla distributions"
"install_source","STRING","False","bqetl","124","387","Source from which the browser or profile was installed.","First install source reported by this client. | The id of the browser distribution made available in installation sources. | The source for the browser distribution installed on the client. | The source of a client installation | The source of a client installation. | The source of a profile installation. | The source of a profile installation."
"windows_build_number","INT64","True","glean","124","405","Windows build number reported by the operating system.","The Windows build number. This is Windows only. `null` on failure. | The optional Windows build number, reported by Windows (e.g. 22000) and not set for other platforms"
"distribution","STRUCT<name STRING, ext JSON>","True","missing","124","369","Distribution channel name and extended metadata.",""
"active_hours_sum","FLOAT64","False","bqetl","123","353","Sum of the client's active hours, converted from active ticks (5-second intervals of user activity).","Active Hours Sum | Sum of Active Hours - calculated by taking the total active ticks (the # of 5 second intervals a user was active) and converting this to active hours | Sum of the client's active hours on the most recent date the client was last seen in the last 28 days"
"attribution_dlsource","STRING","False","bqetl","123","369","Identifier indicating where installations of Firefox originate (e.g., mozorg, mozillaci).","Attribution DL Source | Attribution Download Source | Attribution Download Source (from clients first seen) | Attribution Download Source - Indicates where installations of Firefox originate from. | Attribution Download Source - e.g. mozorg, mozillaci, etc. | Attribution Download Source - identifier that indicate where installations of Firefox originate | Identifier that indicates where installations of Firefox originate. | Identifier that indicates where installations of Firefox originated."
"attribution_ua","STRING","False","bqetl","123","375","Identifier derived from the user agent downloading the Firefox installer.","Attribution UA | Attribution UA (from clients first seen) | Attribution User Agent | Attribution User Agent - identifier derived from the user agent downloading the installer e.g. chrome, Google Chrome 123 | Client's user agent, which corresponds to the web browser used to download the Firefox installer. | Identifier derived from the user agent downloading the installer."
"geo_subdivision","STRING","False","bqetl","123","380","First-level country subdivision (state/province) based on IP geolocation.","Client's geo subdivision on the first seen date. | Client's geo subdivision on the submission_date. | First major country subdivision, typically a state, province, or county | First major country subdivision, typically a state, province, or county based on IP address. | First-level country subdivision (state/province) of user"
